,datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration
235,2022-06-29,28.0,725.0,732.5,713.5,718.0,7521.0,17656.0,17785.0,DCE.i2305,86400
236,2022-06-30,29.0,723.5,728.0,703.5,707.5,7577.0,17785.0,17771.0,DCE.i2305,86400
237,2022-07-01,30.0,702.5,702.5,673.0,675.5,9309.0,17771.0,19495.0,DCE.i2305,86400
238,2022-07-04,31.0,678.0,688.5,647.0,649.0,9713.0,19495.0,20922.0,DCE.i2305,86400
239,2022-07-05,32.0,651.0,673.0,642.0,666.0,9222.0,20922.0,20636.0,DCE.i2305,86400
240,2022-07-06,33.0,665.0,666.5,631.5,659.5,17133.0,20636.0,22097.0,DCE.i2305,86400
241,2022-07-07,34.0,661.0,683.0,652.5,672.0,10905.0,22097.0,22520.0,DCE.i2305,86400
242,2022-07-08,35.0,674.0,691.5,663.5,666.0,9873.0,22520.0,23454.0,DCE.i2305,86400
243,2022-07-11,36.0,667.0,680.0,638.5,653.0,13820.0,23454.0,25103.0,DCE.i2305,86400
244,2022-07-12,37.0,654.0,654.0,622.0,624.0,15726.0,25103.0,27861.0,DCE.i2305,86400
245,2022-07-13,38.0,625.0,647.5,615.0,646.0,16163.0,27861.0,27820.0,DCE.i2305,86400
246,2022-07-14,39.0,643.0,643.5,616.5,618.5,17576.0,27820.0,30699.0,DCE.i2305,86400
247,2022-07-15,40.0,606.0,614.5,590.0,590.5,32140.0,30699.0,38604.0,DCE.i2305,86400
248,2022-07-18,41.0,592.0,620.0,592.0,617.0,21268.0,38604.0,36798.0,DCE.i2305,86400
249,2022-07-19,42.0,620.5,632.0,609.0,614.0,24959.0,36798.0,41409.0,DCE.i2305,86400
250,2022-07-20,43.0,611.0,636.0,599.0,625.0,29418.0,41409.0,46509.0,DCE.i2305,86400
251,2022-07-21,44.0,625.5,633.0,617.0,627.5,33644.0,46509.0,55242.0,DCE.i2305,86400
252,2022-07-22,45.0,624.0,631.0,611.0,630.5,19276.0,55242.0,55198.0,DCE.i2305,86400
253,2022-07-25,46.0,630.0,669.5,630.0,656.0,29590.0,55198.0,57947.0,DCE.i2305,86400
254,2022-07-26,47.0,656.5,682.0,648.0,682.0,22942.0,57947.0,59723.0,DCE.i2305,86400
255,2022-07-27,48.0,682.0,687.5,660.0,670.5,22391.0,59723.0,62957.0,DCE.i2305,86400
256,2022-07-28,49.0,670.5,716.5,667.0,712.0,33248.0,62957.0,64885.0,DCE.i2305,86400
257,2022-07-29,50.0,700.5,717.5,690.0,702.0,26878.0,64885.0,69486.0,DCE.i2305,86400
258,2022-08-01,51.0,704.5,730.0,701.0,709.0,22008.0,69486.0,71111.0,DCE.i2305,86400
259,2022-08-02,52.0,703.0,721.0,697.5,719.0,15420.0,71111.0,71414.0,DCE.i2305,86400
260,2022-08-03,53.0,716.0,719.0,700.0,701.5,19347.0,71414.0,72790.0,DCE.i2305,86400
261,2022-08-04,54.0,702.0,707.0,672.0,672.0,25652.0,72790.0,73709.0,DCE.i2305,86400
262,2022-08-05,55.0,677.0,718.0,670.5,707.5,33582.0,73709.0,79369.0,DCE.i2305,86400
263,2022-08-08,56.0,702.0,725.5,699.5,718.5,27157.0,79369.0,81549.0,DCE.i2305,86400
264,2022-08-09,57.0,717.0,732.0,701.5,701.5,30574.0,81549.0,86597.0,DCE.i2305,86400
265,2022-08-10,58.0,707.0,714.0,693.5,703.5,28455.0,86597.0,91385.0,DCE.i2305,86400
